return,entry_time,entry_price,exit_time,exit_price,price_max_ratio,vol_max_ratio,zero_vol_mins_count,if_curr_higher_one,if_curr_higher_open,if_curr_not_too_high,if_curr_not_too_high_90_days,ticker
0.1762891141472081,2022-12-13 15:00:00,68.07,2022-12-13 15:59:00,68.23,96.81,95.28,0,1,0,1,1,JOUT
-0.03475842891900595,2022-12-13 15:01:00,14.385,2022-12-13 15:59:00,14.39,98.37,85.18,0,1,1,1,1,CGBD
-0.04982561036373474,2022-12-13 15:17:00,10.035,2022-12-13 15:59:00,10.03,99.85,71.55,0,1,1,1,1,FACT
-1.0,2022-12-13 15:38:00,94.665,2022-12-13 15:40:00,93.71835,96.39,74.86,0,1,0,1,1,QDEL
0.13876040703051612,2022-12-13 15:48:00,43.24,2022-12-13 15:59:00,43.3,96.29,88.06,0,1,1,1,1,WFRD
0.05485463521666489,2022-12-13 15:48:00,18.23,2022-12-13 15:59:00,18.29,95.18,71.79,0,1,0,1,1,CWAN
0.07855672337196977,2022-12-13 15:54:00,369.16,2022-12-13 15:59:00,370.02,99.45,74.75,0,1,0,1,1,MLM
-0.2107629619221662,2022-12-13 15:56:00,35.585,2022-12-13 15:59:00,35.55,96.61,70.7,0,1,1,1,1,EAT
0.17444395987788552,2022-12-13 15:57:00,45.86,2022-12-13 15:59:00,45.96,100.59,70.06,0,1,0,1,1,HEES
-0.2589928057554055,2022-12-13 15:57:00,34.75,2022-12-13 15:59:00,34.79,95.19,80.12,0,1,1,1,1,AROW
0.07924976885484385,2022-12-13 15:57:00,75.71,2022-12-13 15:59:00,75.86,97.79,70.99,0,1,0,1,1,HOLX
3.0,2022-12-14 09:30:00,1.98,2022-12-14 09:32:00,2.0394,114.34,1095.48,0,1,1,1,1,IMMX
-1.0,2022-12-14 09:31:00,32.84,2022-12-14 09:32:00,32.5116,102.0,70.56,0,1,0,1,1,KYMR
3.0,2022-12-14 09:32:00,0.693,2022-12-14 09:34:00,0.7137899999999999,102.57,116.24,0,0,0,1,1,VLON
,2022-12-14 09:34:00,2.33,2022-12-14 09:35:00,,118.09,71.46,0,1,1,0,1,SISI
